ticker,query,published_at_utc,title,link,source,sent_label,sent_conf,sent_score
AAPL,AAPL stock,2026-03-03T14:00:00+00:00,Apple’s new M5 MacBook Air doubles storage and speeds up AI - Stock Titan,https://news.google.com/rss/articles/CBMingFBVV95cUxONEIwR1JnZ2NTbW84ZjM1S3dxbURMVDZROFFMeXVqNnVnREhHeE43S2ltRHRnWDlDc0g5aXZXdk1id3otc0FiMW1uQ0h3MGUwak5IM09lb2lRV3llM2cxZ3h2LVl5cGRCcmRDcmRUWWJSR2REdGNxX1pJQ2k2dTBYeTVfU0Z3TlpXZmFpeVRtLXhoSGtVNHkwRWZYSUpHdw?oc=5,Stock Titan,positive,0.6465106010437012,0.6465106010437012
AAPL,AAPL stock,2026-03-02T12:07:00+00:00,Apple (AAPL) stock slips before the bell as Middle East jitters hit tech; AppleLaunch week ahead - TechStock²,https://news.google.com/rss/articles/CBMitAFBVV95cUxOdDI5Qmw1RnQyM09IVW1aUDYydGljOFZWcU5yejNxUmFyZjhXQm1ISDYySHoweVdxNGM4cktqVXlMUWZtQUFkR3dTTE1rcExSNHBsXzJObTNTUjFPS25vdnB1MU9hOU1sRGpEekg2Z1AyS2hHaEFpTnNwN29ZTmZQNExvN2xaME9wSkVZNTVPaXJMVVJfUTczbGdPTm93MThHUWc2VzB2MmQ4ai0wMGhPcnMtUUk?oc=5,TechStock²,negative,0.9219267964363098,-0.9219267964363098
AAPL,AAPL stock,2026-02-13T08:00:00+00:00,Why Is Apple (AAPL) Stock Falling? - INDmoney,https://news.google.com/rss/articles/CBMie0FVX3lxTFBIMzJFUGszT2JsN3JpeEpjQnRBRDFRaHFXSW1CRnliM3A0UGRHNERqUlhhWXNvMTE2T1RERkx6dVA3a19kY2VaRmtlMXJTbjlYNWttSTA2aHgzSmc0LU8yUzNiaEJRamk0ZWVrTnVmcHAzOHI2MXlDRW01RQ?oc=5,INDmoney,negative,0.8467967510223389,-0.8467967510223389
AAPL,AAPL stock,2026-03-03T10:13:27+00:00,Apple (AAPL) Stock: Edges Higher on iPhone 17e Rollout and iPad Air Updates - parameter.io,https://news.google.com/rss/articles/CBMidEFVX3lxTE5SVzFYb0VfZXZiMU1oTmw3bWdqMUE0OTE1cUNYVGZLTGhzb3hFUml5RlZwWGpBaXpRZlBVaTN3R3RfbXM1Z09qUWR5dmQwR01tdDhQWDlTNDkzSHdUNzlQZTBXbGxDR1k0ZGlEOTRjRy0yeXY1?oc=5,parameter.io,positive,0.9453563094139099,0.9453563094139099
AAPL,AAPL stock,2026-03-02T14:41:20+00:00,"AAPL Stock Today, March 02: 'Whoop' watch debate spotlights wearable security - Meyka",https://news.google.com/rss/articles/CBMipAFBVV95cUxOcEt5enZIWjNHd3dOMzMzcDNzT3l3QU1jYlJEQnRDQ3RGamgyc1ROeW9GdExqTGNrYnZ4eFFwQzBJSVlsdHhkUXVSczNwZDZsTzJHUUZnSzI2WHpGS19oYzlTMkFDeHpTMHo2LXh2Y0ZaQW1NYms5Yk8xQTkwU193dHZkdy00Y2p6T2VJTHJMX3c2Q29UcUFaUzNOSzRhdFdsWGYxZg?oc=5,Meyka,neutral,0.8581188917160034,0.0
AAPL,AAPL stock,2026-03-02T14:50:00+00:00,Here's Why Apple (AAPL) is a Strong Momentum Stock - Nasdaq,https://news.google.com/rss/articles/CBMiggFBVV95cUxOcFlSd0x4bFhmVVhHdUV5bzAxTVM3NnQ2NUxvclgtQVVTaFdjXy0xRFdtZzIza204M2hvWnBDVUlYNWRJaG9BSEdjbjEtVFo3Z05jd2pJVmRybFhGekdXcDByTGRQUFhwWUVmUUV0QThZejdONEdRWkREeldfdS1aWEhR?oc=5,Nasdaq,neutral,0.7140868902206421,0.0
AAPL,AAPL stock,2026-03-01T14:04:00+00:00,Apple Stock (AAPL) Opinions on Low-Cost MacBook and AI Developments - Quiver Quantitative,https://news.google.com/rss/articles/CBMipwFBVV95cUxPczdNSE9nLWRMUzRmcGI2aWEzTUhrc2cxWGhveFZJellOMmFJbHhaV29jT3d0MWtUUC1CZVBWWGpxd0NkbDY3M1V2b2lDTFY2amtUMjlubVM2eTBtaHpfcFowSkhOa0d6aUFJQ1ppbjF1M1FGaC1jYlc1VW1Ma1VqUkE3RnFvLVJPeVVGQ1EtaVpralJmRVNYSllieXBIbFlsV3NoTTFaSQ?oc=5,Quiver Quantitative,neutral,0.9142287969589233,0.0
AAPL,AAPL stock,2026-02-23T13:49:18+00:00,Apple: The 2.5 Billion Device Machine - Seeking Alpha,https://news.google.com/rss/articles/CBMigwFBVV95cUxQcXB0LWxMUlA4MnFkNFlzTXBjRnJNUU9TajNpYlZpWmhtUS1WZVRqN1dwTXVzV2MxUHYzb2dNZmY1YXFWdUxXVEVqVmxjaTdVY1JXN3p0ME1ua2xCVVNkQmhkaFNjM3ZHNHhpZ1g4UFd1OURCdzdSNVI3UUlFcUJXa2V5Zw?oc=5,Seeking Alpha,neutral,0.9108060002326965,0.0
AAPL,AAPL stock,2026-03-02T19:51:15+00:00,Apple Stock (AAPL) Struggles as Report Flags Growing Dependence on Google for Siri - TipRanks,https://news.google.com/rss/articles/CBMirwFBVV95cUxObWN3NkZmWW0tR19ncF9BUTZrMzlzd3d1Zi1rUHRFcE5MN2xUQWdvclVndk9Jc1lXcmFYQXZubjNVUGlrOEgzaUw0UnRVMVc4YWRHa1lOUUJtOFgxd01pT0RtQUtGWlZjT2wzS2RiUVNBQy1URTdxUE5wNVpPVENwNVdfczdDMER0REdudnh6V2huelN1MndzaldMenB1ZUZ1X3BPSW9CMFVRQzdXeXdv?oc=5,TipRanks,negative,0.9716505408287048,-0.9716505408287048
AAPL,AAPL stock,2026-03-03T10:44:34+00:00,Apple (AAPL) Stock; Edges Higher on iPhone 17e Launch and AI Features - CoinCentral,https://news.google.com/rss/articles/CBMijAFBVV95cUxQUVRJRWJjTU5PTkxDcDI3cjZvQjY4VUFaQ2hrYWx5UFR6SlNEZ0s5UTNUakVON0dqanRfT1BRLUtTVnFiVWFwOXI1Y1RiVjZZbEJFWUJKYWxOT21kWmdkaWE0MktHcld0UXJ2cXh2bTFjOTR2dnBWeW80cUlwZFNXbjlZeEFjcldBdmlIcw?oc=5,CoinCentral,positive,0.9472639560699463,0.9472639560699463
